dyad_id,epid,start_year,end_year,terminated,outcome
399,39901,1946,1946,1,rebel-victory
400,40001,1949,1949,1,government-victory
400,40002,1952,1952,1,rebel-victory
401,40101,1967,1967,1,government-victory
402,40201,1946,1953,1,peace-agreement
403,40301,1946,1949,1,rebel-victory
404,40401,1946,1949,1,government-victory
405,40501,1946,1949,1,peace-agreement
406,40601,1946,1946,1,government-victory
406,40602,1966,1968,1,low-activity
406,40603,1979,1988,1,low-activity
406,40604,1990,1990,1,low-activity
406,40605,1993,1993,1,low-activity
406,40606,1996,1996,1,low-activity
406,40607,2016,2016,1,low-activity
406,40608,2018,2018,1,low-activity
407,40701,1946,1946,1,government-victory
408,40801,1946,1946,1,low-activity
409,40901,1946,1953,1,rebel-victory
410,41001,1946,1954,1,government-victory
411,41101,1969,1995,1,ceasefire
411,41102,1997,1997,1,ceasefire
411,41103,1999,,0,
412,41201,1987,1987,1,low-activity
412,41202,1989,1990,1,low-activity
413,41301,1946,1948,1,low-activity
414,41401,1946,1946,1,low-activity
415,41501,1946,1946,1,low-activity
416,41601,1946,1948,1,low-activity
417,41701,1946,1950,1,low-activity
418,41801,1946,1946,1,peace-agreement
419,41901,1946,1946,1,ceasefire
420,42001,1946,1954,1,peace-agreement
421,42101,1947,1947,1,government-victory
422,42201,1948,1948,1,ceasefire
422,42202,1964,1965,1,peace-agreement
422,42203,1971,1971,1,peace-agreement
422,42204,1984,1984,1,low-activity
422,42205,1987,1987,1,low-activity
422,42206,1989,1992,1,low-activity
422,42207,1994,1994,1,low-activity
422,42208,1996,2003,1,ceasefire
422,42209,2013,2020,1,ceasefire
423,42301,1947,1947,1,government-victory
424,42401,1947,1947,1,government-victory
425,42501,1954,1954,1,rebel-victory
426,42601,1989,1989,1,rebel-victory
427,42701,1949,1975,1,actor-ceases
428,42801,1966,1992,1,low-activity
428,42802,1994,1995,1,low-activity
428,42803,1997,1998,1,low-activity
428,42804,2000,2011,1,ceasefire
428,42805,2021,,0,
429,42901,2000,2000,1,government-victory
430,43001,2010,2011,1,ceasefire
430,43002,2013,2013,1,low-activity
431,43101,1948,1988,1,actor-ceases
432,43201,1948,1950,1,low-activity
432,43202,1970,1970,1,government-victory
433,43301,1948,1953,1,low-activity
434,43401,1990,1992,1,low-activity
434,43402,1994,1994,1,low-activity
435,43501,1948,1957,1,ceasefire
436,43601,1948,1961,1,government-victory
437,43701,1964,1972,1,low-activity
438,43801,1964,1973,1,low-activity
439,43901,1973,1978,1,low-activity
440,44001,1977,1977,1,government-victory
442,44201,1991,1991,1,low-activity
442,44202,1994,1994,1,low-activity
443,44301,1949,1951,1,actor-ceases
444,44401,1952,1958,1,peace-agreement
445,44501,1959,1963,1,low-activity
445,44502,1990,1990,1,low-activity
446,44601,1996,1996,1,government-victory
447,44701,1948,1948,1,rebel-victory
448,44801,1948,1948,1,rebel-victory
449,44901,1948,1951,1,low-activity
450,45001,1969,1971,1,government-victory
451,45101,1991,1994,1,low-activity
451,45102,1996,2004,1,actor-ceases
452,45201,1999,2004,1,actor-ceases
453,45301,2005,,0,
454,45401,1948,1949,1,ceasefire
455,45501,1948,1957,1,actor-ceases
456,45601,1948,1948,1,rebel-victory
457,45701,1962,1970,1,peace-agreement
458,45801,1979,1982,1,low-activity
459,45901,2009,2018,1,low-activity
460,46001,1949,1950,1,government-victory
461,46101,1961,1992,1,ceasefire
461,46102,2011,2019,1,low-activity
461,46103,2021,,0,
462,46201,1949,1950,1,low-activity
462,46202,1954,1954,1,low-activity
462,46203,1958,1958,1,low-activity
463,46301,1949,1949,1,government-victory
464,46401,1954,1954,1,rebel-victory
465,46501,1963,1963,1,low-activity
465,46502,1965,1974,1,government-victory
465,46503,1981,1981,1,actor-ceases
466,46601,1970,1981,1,actor-ceases
467,46701,1975,1981,1,actor-ceases
468,46801,1979,1981,1,actor-ceases
469,46901,1982,1995,1,peace-agreement
470,47001,1949,1964,1,actor-ceases
471,47101,1965,1973,1,actor-ceases
472,47201,1965,1988,1,actor-ceases
473,47301,1974,1988,1,actor-ceases
474,47401,1989,1989,1,low-activity
474,47402,2001,2001,1,low-activity
475,47501,1989,1989,1,low-activity
476,47601,1990,1992,1,peace-agreement
476,47602,2000,2002,1,low-activity
476,47603,2005,2007,1,peace-agreement
476,47604,2022,,0,
477,47701,1993,1994,1,low-activity
477,47702,2001,2009,1,low-activity
477,47703,2011,2012,1,ceasefire
477,47704,2014,2014,1,ceasefire
477,47705,2018,2018,1,low-activity
477,47706,2021,2021,1,low-activity
477,47707,2023,,0,
478,47801,1995,1995,1,low-activity
478,47802,2001,2012,1,low-activity
478,47803,2014,2014,1,ceasefire
478,47804,2019,2019,1,ceasefire
478,47805,2021,,0,
479,47901,1996,1996,1,low-activity
479,47902,2000,2002,1,ceasefire
480,48001,2002,2004,1,actor-ceases
481,48101,2006,2006,1,low-activity
482,48201,1949,1953,1,ceasefire
483,48301,1950,1950,1,government-victory
483,48302,1956,1956,1,low-activity
