gwno,year,population
2,1946,140031458
2,1947,141977937
2,1948,143951473
2,1949,146051521
2,1950,154202683
2,1951,156481323
2,1952,158794223
2,1953,161168320
2,1954,163636303
2,1955,166200028
2,1956,168824962
2,1957,171499234
2,1958,174215305
2,1959,177145772
2,1960,180274556
2,1961,183489491
2,1962,186724275
2,1963,189825225
2,1964,192819457
2,1965,195653774
2,1966,198265400
2,1967,200699913
2,1968,203011020
2,1969,205300034
2,1970,207796338
2,1971,210426423
2,1972,212842571
2,1973,215006548
2,1974,217076475
2,1975,219129299
2,1976,221168755
2,1977,223259417
2,1978,225396097
2,1979,227575082
2,1980,229858656
2,1981,232201613
2,1982,234583155
2,1983,236986362
2,1984,239353967
2,1985,241690438
2,1986,243953807
2,1987,246161292
2,1988,248393236
2,1989,250675047
2,1990,253373387
2,1991,256471424
2,1992,259606021
2,1993,262633229
2,1994,265474811
2,1995,268205796
2,1996,270860695
2,1997,273468014
2,1998,276119323
2,1999,278785482
2,2000,281484126
2,2001,284279634
2,2002,287084335
2,2003,289908091
2,2004,292786248
2,2005,295716666
2,2006,298730208
2,2007,301844223
2,2008,304970325
2,2009,308023452
2,2010,311062785
2,2011,314105075
2,2012,317115349
2,2013,320110752
2,2014,323115377
2,2015,326126496
2,2016,329179423
2,2017,332204657
2,2018,335056492
2,2019,337790069
2,2020,339436156
2,2021,340161438
2,2022,341534041
2,2023,343477330
2,2024,343477330
2,2025,343477330
20,1946,12715233
20,1947,12947875
20,1948,13184774
20,1949,13449459
20,1950,13741740
20,1951,14083298
20,1952,14482799
20,1953,14897877
20,1954,15318987
20,1955,15728281
20,1956,16159621
20,1957,16641329
20,1958,17104091
20,1959,17515522
20,1960,17898793
20,1961,18263078
20,1962,18613597
20,1963,18964258
20,1964,19321670
20,1965,19685517
20,1966,20053667
20,1967,20408776
20,1968,20734173
20,1969,21037620
20,1970,21440022
20,1971,21895694
20,1972,22230876
20,1973,22512229
20,1974,22824085
20,1975,23148981
20,1976,23455783
20,1977,23730341
20,1978,23978742
20,1979,24237173
20,1980,24533779
20,1981,24844977
20,1982,25140164
20,1983,25412605
20,1984,25670376
20,1985,25927463
20,1986,26211036
20,1987,26540913
20,1988,26927938
20,1989,27366046
20,1990,27789437
20,1991,28157154
20,1992,28500066
20,1993,28830635
20,1994,29147383
20,1995,29459138
20,1996,29767210
20,1997,30059088
20,1998,30329971
20,1999,30599458
