gwno,year,regime
2,1945,2
2,1946,2
2,1947,2
2,1948,2
2,1949,2
2,1950,2
2,1951,2
2,1952,2
2,1953,2
2,1954,2
2,1955,2
2,1956,2
2,1957,2
2,1958,2
2,1959,2
2,1960,2
2,1961,2
2,1962,2
2,1963,2
2,1964,2
2,1965,2
2,1966,2
2,1967,2
2,1968,2
2,1969,3
2,1970,3
2,1971,3
2,1972,3
2,1973,3
2,1974,3
2,1975,3
2,1976,3
2,1977,3
2,1978,3
2,1979,3
2,1980,3
2,1981,3
2,1982,3
2,1983,3
2,1984,3
2,1985,3
2,1986,3
2,1987,3
2,1988,3
2,1989,3
2,1990,3
2,1991,3
2,1992,3
2,1993,3
2,1994,3
2,1995,3
2,1996,3
2,1997,3
2,1998,3
2,1999,3
2,2000,3
2,2001,3
2,2002,3
2,2003,3
2,2004,3
2,2005,3
2,2006,3
2,2007,3
2,2008,3
2,2009,3
2,2010,3
2,2011,3
2,2012,3
2,2013,3
2,2014,3
2,2015,3
2,2016,3
2,2017,3
2,2018,3
2,2019,3
2,2020,3
2,2021,3
2,2022,3
2,2023,3
2,2024,3
2,2025,2
20,1945,2
20,1946,2
20,1947,2
20,1948,2
20,1949,2
20,1950,2
20,1951,2
20,1952,2
20,1953,2
20,1954,2
20,1955,2
20,1956,2
20,1957,2
20,1958,2
20,1959,2
20,1960,2
20,1961,2
20,1962,2
20,1963,2
20,1964,2
20,1965,2
20,1966,2
20,1967,2
20,1968,2
20,1969,2
20,1970,2
20,1971,2
20,1972,2
20,1973,2
20,1974,2
20,1975,2
20,1976,3
20,1977,3
20,1978,3
20,1979,3
20,1980,3
20,1981,3
20,1982,3
20,1983,3
20,1984,3
20,1985,3
20,1986,3
20,1987,3
20,1988,3
20,1989,3
20,1990,3
20,1991,3
20,1992,3
20,1993,3
20,1994,3
20,1995,3
20,1996,3
20,1997,3
20,1998,3
20,1999,3
20,2000,3
20,2001,3
20,2002,3
20,2003,3
20,2004,3
20,2005,3
20,2006,3
20,2007,3
20,2008,3
20,2009,3
20,2010,3
20,2011,3
20,2012,3
20,2013,3
20,2014,3
20,2015,3
20,2016,3
20,2017,3
20,2018,3
20,2019,3
20,2020,2
20,2021,3
20,2022,2
20,2023,2
20,2024,2
20,2025,2
40,1945,1
40,1946,1
40,1947,1
40,1948,1
40,1949,1
40,1950,1
40,1951,1
40,1952,0
40,1953,0
40,1954,0
40,1955,1
40,1956,1
40,1957,1
40,1958,1
40,1959,0
40,1960,0
40,1961,0
40,1962,0
40,1963,0
40,1964,0
40,1965,0
40,1966,0
40,1967,0
40,1968,0
40,1969,0
40,1970,0
40,1971,0
40,1972,0
40,1973,0
40,1974,0
40,1975,0
40,1976,0
40,1977,0
40,1978,0
40,1979,0
40,1980,0
40,1981,0
40,1982,0
40,1983,0
40,1984,0
40,1985,0
40,1986,0
40,1987,0
40,1988,0
40,1989,0
40,1990,0
40,1991,0
40,1992,0
40,1993,0
40,1994,0
40,1995,0
40,1996,0
40,1997,0
40,1998,0
40,1999,0
40,2000,0
40,2001,0
40,2002,0
40,2003,0
40,2004,0
40,2005,0
40,2006,0
40,2007,0
40,2008,0
40,2009,0
40,2010,0
40,2011,0
40,2012,0
40,2013,0
40,2014,0
40,2015,0
40,2016,0
40,2017,0
40,2018,0
40,2019,0
40,2020,0
40,2021,0
40,2022,0
40,2023,0
40,2024,0
40,2025,0
41,1945,1
41,1946,1
41,1947,1
41,1948,1
41,1949,1
41,1950,1
41,1951,1
41,1952,1
41,1953,1
41,1954,1
41,1955,1
41,1956,1
41,1957,1
41,1958,1
41,1959,1
41,1960,1
41,1961,0
41,1962,0
41,1963,0
41,1964,0
41,1965,0
41,1966,0
41,1967,0
41,1968,0
41,1969,0
41,1970,0
41,1971,0
41,1972,0
41,1973,1
41,1974,1
41,1975,1
41,1976,1
41,1977,1
41,1978,1
41,1979,1
41,1980,1
41,1981,1
41,1982,1
41,1983,1
41,1984,1
41,1985,1
41,1986,1
41,1987,1
41,1988,1
41,1989,0
41,1990,0
41,1991,1
41,1992,0
41,1993,0
41,1994,1
41,1995,1
41,1996,1
41,1997,1
41,1998,1
41,1999,1
41,2000,1
41,2001,1
41,2002,1
41,2003,1
41,2004,1
41,2005,0
41,2006,1
41,2007,1
41,2008,1
41,2009,1
41,2010,1
41,2011,1
41,2012,1
41,2013,1
41,2014,1
41,2015,1
41,2016,1
41,2017,1
41,2018,1
41,2019,1
41,2020,1
41,2021,0
41,2022,0
41,2023,0
41,2024,0
41,2025,0
42,1945,0
42,1946,0
42,1947,0
42,1948,0
42,1949,0
42,1950,0
42,1951,0
42,1952,0
42,1953,0
42,1954,0
42,1955,0
42,1956,0
42,1957,0
42,1958,0
42,1959,0
42,1960,0
42,1961,0
42,1962,0
42,1963,1
42,1964,0
42,1965,0
42,1966,1
42,1967,1
42,1968,1
42,1969,1
